id_projeto,id_receita,ds_tipo_arrecadacao,ds_receita,vl_unitario,nr_quantidade,vl_receita,fl_fonte_recurso,tp_recurso,nm_instituicao,fl_orgao_publico
13053,3196,,"Projeto aprovado com recurso através do edital FAPERGS SEBRAE/RS 03/2021 - Programa de apoio a projetos de pesquisa e de inovação na área de Educação Básica -PROEdu.",42000.00,1.00,42000.00,T,E,"Fundação de Amparo a Pesquisa do Estado do Rio Grande do Sul",S
13071,3202,,"Recurso para adequação do NOC Atlantico Sul às atividades do projeto, locação de mão de obra, e despesas para viabilizar os emqarques para coleta de dados",1050000.00,1.00,1050000.00,T,E,"Serviço geológico do Brasil",S
13158,3222,,"Aporte financeira da instituição Denso do Brasil Ltda.",1260470.52,1.00,1260470.52,T,E,"Denso do Brasil Ltda",N
13339,3309,,"Desenvolvimento de Projeto integrado de Cultura - ação multicampi",46200.00,1.00,46200.00,I,,,
13352,3312,"Prestação de Serviço","Pagamento da décima parcela de 10% do valor contratado no ato da assinatura do contrato e abertura da conta",42832.65,1.00,42832.65,A,,,
13352,3313,"Prestação de Serviço","Pagamento da nona parcela de 10% do valor contratado no ato da entrega / apresentação do relatório parcial",42832.65,1.00,42832.65,A,,,
13352,3314,"Prestação de Serviço","Pagamento da oitava parcela de 10% do valor contratado no ato da entrega / apresentação do relatório parcial",42832.65,1.00,42832.65,A,,,
13352,3315,"Prestação de Serviço","Pagamento da primeira parcela de 10% do valor contratado no ato da entrega / apresentação do relatório parcial",42832.65,1.00,42832.65,A,,,
13352,3316,"Prestação de Serviço","Pagamento da quarta parcela de 10% do valor contratado no ato da entrega / apresentação do relatório parcial",42832.65,1.00,42832.65,A,,,
13549,3434,,"Bolsa PDE",4000.00,1.00,4000.00,I,,,
13074,3203,,"deslocamento terrestre e aéreo e diárias",24489.00,1.00,24489.00,I,,,
13074,3204,,"Horas de dedicação de 2 docentes de 1 TAE, por 10 meses.",15000.00,1.00,15000.00,C,,,
13115,3209,,"Bolsas de tutoria",6000.00,1.00,6000.00,I,,,
13159,3223,,"Ressarcimento Fundação de Apoio",21256.80,1.00,21256.80,I,,,
13159,3224,,"Valor para custear execução projeto Fase I.",294400.00,1.00,294400.00,T,E,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior",S
13159,3225,,"Valor para custear execução projeto Fase II",109480.00,1.00,109480.00,T,E,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior",S
3177,622,Inscrição,"Estudante de graduação não sócio da ABLimno",50.00,50.00,2500.00,A,,,
3177,623,Inscrição,"Estudante de graduação sócio da ABLimno",40.00,10.00,400.00,A,,,
3177,624,Inscrição,"Estudante de pós-graduação não sócio da ABLimno",150.00,70.00,10500.00,A,,,
3177,625,Inscrição,"Estudante de pós-graduação sócio da ABLimno",120.00,40.00,4800.00,A,,,
3177,626,Inscrição,"Profissional não sócio da ABLimno",250.00,20.00,5000.00,A,,,
3177,627,Inscrição,"Profissional sócio da ABLimno",200.00,10.00,2000.00,A,,,
3181,649,,"pagamento referente a prestação de serviço",89875.00,1.00,89875.00,T,E,BRASKEM,N
3205,653,Inscrição,"Inscrição no II Curso Básico de Oncologia",10.00,17.00,170.00,A,,,
3225,678,,"2 bolsas mensais de quatrocentos reais pagas pela PROGEP",9600.00,1.00,9600.00,I,,,
3237,688,Inscrição,"Inscrição para SAICC, e Minicurso",16.00,200.00,3200.00,A,,,
3237,689,"Prestação de Serviço",DevOpers,450.00,1.00,450.00,A,,,
3237,690,"Prestação de Serviço",SCADI,450.00,1.00,450.00,A,,,
3237,691,,"Caixa do PET C3",1120.00,1.00,1120.00,I,,,
12714,3052,,"Contrapartida iTEC/FURG",82476.19,1.00,82476.19,C,,,
12714,3053,,"Recurso EMBRAPII",164952.38,1.00,164952.38,T,E,"Empresa Brasileira de Pesquisa e Inovação Industrial",N
12714,3054,,"Recurso obtido via projeto iTEC/EMBRAPII",247428.57,1.00,247428.57,T,E,"Conceptu Protótipos e Sistemas",N
12962,3163,,"Recurso referente ao edital 01/2017, denominado Auxílio Recém-doutor (ARD) da Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul (FAPERGS).",17000.00,1.00,17000.00,T,E,"Fundação de Amparo a Pesquisa do Estado do Rio Grande do Sul",S
3359,731,"Prestação de Serviço","Cotas de Patrocínio do Evento",20000.00,10.00,200000.00,A,,,
3408,736,,"2 bolsas mensais de quatrocentos reais pagas pela PROGEP",9600.00,1.00,9600.00,I,,,
3466,752,,"O projeto faz parte de um programa no âmbito do governo federal MEC/SEB e será desenvolvido com um conjunto de 57 municípios do Estado do Rio Grande do Sul.",198750.00,1.00,198750.00,T,E,"Ministério da Educação",S
3478,753,"Prestação de Serviço","Arrecadação com as saídas das embarcações",937931.03,1.00,937931.03,A,,,
3549,754,,"Recursos Próprios",56939.54,1.00,56939.54,I,,,
3646,756,,Consumo,3000.00,1.00,3000.00,I,,,
3646,757,Inscrição,"Pagamento de Taxas de Inscrição de Professores/Pesquisadores",200.00,36.00,7200.00,A,,,
3646,758,Inscrição,"Pagamento de Taxas de Inscrição de alunos de Pós-Graduação",130.00,20.00,2600.00,A,,,
3646,759,Inscrição,"Isenção de taxas para alunos de Graduação",0.00,25.00,0.00,A,,,
3646,760,,"Recurso obtido para custeio do evento, diárias e passagens de palestrantes e aluguel de ônibus para translado de POrto Alegre para Rio Grande.",15000.00,1.00,15000.00,T,E,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior",S
3674,762,Inscrição,"Matricula curso",100.00,44.00,4400.00,A,,,
3688,763,,"Capital, custeio e bolsas.",1108880.00,1.00,1108880.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
4517,841,Inscrição,"Inscrições para participação no evento",20.00,100.00,2000.00,A,,,
4561,860,,"Valor destinado a passagens e diárias dos palestrantes . O valor também custeará a compra de materiais como banners, cartazes, camisetas etc.",10000.00,1.00,10000.00,T,E,"Universidade Federal do Rio Grande",S
13281,3294,,"Recursos para a execução do projeto.",100000.00,1.00,100000.00,T,E,"Yara Brasil Fertilizantes - Rio Grande",N
4660,889,,"Impressão dos baralhos",525.00,1.00,525.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
4763,930,,"Os recursos são para consumo, capital e pessoa jurídica e física",940000.00,1.00,940000.00,T,E,"Ministério da Ciência, Tecnologia e Inovação",S
12718,3061,,"Bolsa produtividade",42000.00,1.00,42000.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
12718,3062,,"Custeio e capital- Edital Pesquisador Gaúcho 2017",28000.00,1.00,28000.00,T,E,"Fundação de Amparo a Pesquisa do Estado do Rio Grande do Sul",S
4845,948,,"Bolsas e Materiais",4400.00,1.00,4400.00,I,,,
4891,958,,"Os equipamentos permanentes necessários para a realização desse projeto serão utilizados no laboratório de Biologia Molecular pertencente à Faculdade de Medicina da Universidade Federal do Rio Grande (FURG).",5000.00,1.00,5000.00,I,,,
4891,959,,"Os equipamentos permanentes necessários para a realização desse projeto serão utilizados no laboratório de Biologia Molecular pertencente à Faculdade de Medicina da Universidade Federal do Rio Grande (FURG) e do laboratório de Virologia Humana da Universidade Federal do Rio de Janeiro (UFRJ).",5000.00,1.00,5000.00,C,,,
4894,960,,"DESPESAS TOTOAIS",6295.00,1.00,6295.00,I,,,
4896,961,,"Bolsas para alunos",1600.00,1.00,1600.00,I,,,
4930,963,,"Apoio curso de Psicologia",200.00,1.00,200.00,I,,,
4964,969,,"Material consumível",43000.00,1.00,43000.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
4980,974,,"Verba de compensação ambiental da instalação do estaleiro EBR",110000.00,1.00,110000.00,T,E,"Estaleiros do Brasil - LTDA",N
5079,987,,"Bolsas PDJ, DR, IC",280512.00,1.00,280512.00,T,E,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior",S
5079,988,,"Custeio: R$ 763.340,00Capital: R$ 852.005,00",1615345.00,1.00,1615345.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
5224,1029,,"Auxílio financeiro ao pesquisador ( transporte e alimentação)",250.00,1.00,250.00,I,,,
5269,1036,,"Edital Universal CNPq 4066991/2016-0- Desenvolvimento e caracterização físico-química de sistemas lipossomais contendo genisteína para uso na terapia contra gliomas. Capital e Custeio",30000.00,1.00,30000.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
5559,1128,,"Pagamento de Bolsas",4000.00,1.00,4000.00,I,,,
5594,1136,,"Bolsa de produtividade",39000.00,1.00,39000.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
5802,1220,,"valor correspondente à bolsa de monitoria do acadêmico selecionado.",400.00,1.00,400.00,T,E,"Universidade Federal do Rio Grande",S
5929,1260,,"Gastos com coffee-break e brindes comemorativos",5000.00,1.00,5000.00,I,,,
5864,1243,,"Edital FAPERGS 04/2019 - Recém-Doutor",17478.40,1.00,17478.40,T,E,"Fundação de Amparo a Pesquisa do Estado do Rio Grande do Sul",S
6019,1299,Inscrição,"Valores previstos com as inscrições dos participantes discentes",25.00,50.00,1250.00,A,,,
6019,1300,Inscrição,"Valores previstos com as inscrições dos participantes gestores",30.00,50.00,1500.00,A,,,
6059,1324,,"Disponibilização de sala de aula - ESANTAR",600.00,1.00,600.00,C,,,
6059,1325,,"Transporte para os participantes",300.00,1.00,300.00,C,,,
6054,1322,,"Quatro cotas de bolsas de três meses cada (out a dez) no valor mensal de R$400,00",4800.00,1.00,4800.00,I,,,
6059,1323,,"Deslocamento do ministrante do curso e pagamento de diárias para sua estadia.",17000.00,1.00,17000.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
6066,1328,,"Prestação de serviço",5.00,1.00,5.00,I,,,
6090,1339,,"Recursos provenientes da PMSAP para financiar a segunda fase do projeto de pesquisa na Secretaria da Saúde.",15331.91,1.00,15331.91,T,E,"Prefeitura Municipal de Santo Antônio da Patrulha",S
6090,1340,,"Recursos provenientes da PMSAP para financiar o projeto de pesquisa na Secretaria da Saúde. Será pago em 10 parcelas, sendo a primeira 1 dia após a assinatura do Convênio.",62500.20,1.00,62500.20,T,E,"Prefeitura Municipal de Santo Antônio da Patrulha",S
6093,1350,,"Recurso fornecido via TED 7766 para execução da fase II do Ava Polos.",109480.00,1.00,109480.00,T,E,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior",S
6093,1351,,"Recursos destinados para a execução do projeto.",294400.00,1.00,294400.00,T,E,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior",S
6093,1352,,"Serviço de Terceiros - Pessoa Jurídica - Ressarcimento a FAURG",14720.00,1.00,14720.00,I,,,
6106,1361,"Prestação de Serviço","Serviço de Microscopia Confocal",200.00,75.00,15000.00,A,,,
6106,1362,"Prestação de Serviço","Serviço de Microscopia Eletrônica de Varredura e Espectroscopia de Energia Disersiva",200.00,400.00,80000.00,A,,,
6106,1363,Inscrição,"Inscrição EMEC",25.00,200.00,5000.00,A,,,
6106,1364,"Prestação de Serviço","Preparo de amostras para a utilização nas técnicas de microscopia",50.00,60.00,3000.00,A,,,
6106,1365,"Prestação de Serviço","Homogeneizador de Alta Pressão",200.00,200.00,40000.00,A,,,
6106,1366,"Prestação de Serviço","Serviço de Difração de Raios-X: obtenção de dados utilizando a técnica para amostras sólidas ou em pó",120.00,500.00,60000.00,A,,,
6106,1367,"Prestação de Serviço","Serviço de Microscopia Eletrônica de Transmissão",200.00,400.00,80000.00,A,,,
6157,1401,,"Diárias = R$ 5400,00Bolsas = R$ 122100,00Material de Consumo = R$ 24210,27Passagens = R$ 6010,00Outros - Pessoa Física = R$ 7661,52Outros - Pessoa Jurídica = R$ 12848,48Equipamento e Mat. Permanente = R$ 61000,00Ressarcimento FURG = R$  11645,97Ressarcimento FAURG = R$  13631,97Ressarcimento Unidade (IO) = R$ 8131,19",272639.40,1.00,272639.40,T,E,"Fundação de Apoio à Universidade do Rio Grande",N
6170,1413,,"Desenvolvimento de ações culturais",282554.15,1.00,282554.15,I,,,
6227,1422,,"Taxa administrativa da FAURG (5% do valor referente ao recurso concedido)",2250.00,1.00,2250.00,I,,,
6227,1423,,"Valor em espécie, depositado em conta corrente do Projeto no Banco do Brasil e gerido pela Fundação de Apoio à Universidade Federal do Rio Grande - FAURG.",45000.00,1.00,45000.00,T,E,"Serviço de Apoio às Micro e Pequenas Empresas do Estado do Rio Grande do Sul",N
6253,1437,,"Recursos advindos do projeto",2188657.80,1.00,2188657.80,T,E,"Petróleo Brasileiro S/A.",N
6265,1446,,"CHAMADA PÚBLICA MEC-MCTIC 01/2019 - PROGRAMA CIÊNCIA NA ESCOLA - SELEÇÃO DE REDES PARA O APRIMORAMENTO DO ENSINO DE CIÊNCIAS NA EDUCAÇÃO BÁSICA",3300000.00,1.00,3300000.00,T,E,"Ministério da Educação",S
6408,1501,,"Recursos a captar de patrocinadores para a 46ª Feira do Livro",150000.00,1.00,150000.00,T,E,"Patrocínio - recursos a captar",S
12791,3093,,"Recursos para aquisição de equipamentos e custeio referente à bolsa de produtividade em pesquisa do coordenador",38152.37,1.00,38152.37,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
6426,1516,Inscrição,"Apresentador de Comunicação",25.00,60.00,1500.00,A,,,
6426,1517,,"Orçamento Unidade ILA",6526.20,1.00,6526.20,I,,,
6461,1528,Inscrição,"Inscrição para participação",25.00,465.00,11625.00,A,,,
6470,1535,"Prestação de Serviço","Projeto TerraMar",89300.00,1.00,89300.00,A,,,
6493,1562,Inscrição,"Inscrições via SINSC para participação do evento como ouvinte",10.00,250.00,2500.00,A,,,
6493,1563,Inscrição,"Inscrições via SINSC para participação do evento para minicursos",5.00,250.00,1250.00,A,,,
6493,1564,Inscrição,"Inscrições via SINSC para participação do evento para publicação de resumos",10.00,50.00,500.00,A,,,
6493,1565,,Patrocínio,4000.00,1.00,4000.00,T,E,JCB,N
6496,1567,,"Fincanciado pela empresa",88300.00,1.00,88300.00,T,E,"Transnorte Transportes Aquaviários Ltda.",N
6532,1599,Inscrição,"Inscrição de alunos de Graduação",15.00,20.00,300.00,A,,,
6532,1600,Inscrição,"Inscrição de alunos de Pós-Praduação",50.00,16.00,800.00,A,,,
6532,1601,Inscrição,"Inscrição de professores e pesquisadores",150.00,5.00,750.00,A,,,
6620,1632,,"Patrocínio para custear o evento",400.00,1.00,400.00,T,E,"Steq Comércio e Representações",N
6620,1633,,"Patrocínio para o evento",800.00,1.00,800.00,T,E,"Alesco (ALBR Indústria e Comércio Ltda.)",N
6620,1634,Inscrição,"Taxa de inscrição",200.00,32.00,6400.00,A,,,
6671,1637,,"Valor aportado pelo INCT Ciências Forenses",8000.00,1.00,8000.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
6702,1644,,"R$ 57.600,00 - Bolsa de Produtividade em Pesquisa - Nível 1D (Proponente)R$ 48.000,00 - Taxa de bancada para uso em Capital e/ou Custeio (com rubrica a ser definida pelo pesquisador)",105600.00,1.00,105600.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
6942,1670,,"Acesso ao banco de dados do Pescarte (10% do valor de investimento)",780000.00,1.00,780000.00,C,,,
6942,1671,,"Estrutura da universidade - sala de permanência das professoras, sala disponibilizada para o projeto, energia elétrica, telefone, impressora, e material impresso.",140100.00,1.00,140100.00,C,,,
6942,1672,,"Projeto de apoio à pesquisa marinha e pesqueira no Rio de Janeiro",1383962.90,1.00,1383962.90,T,E,"Fundo Brasileiro para a Biodiversidade",N
6942,1673,,"Salário das Pesquisadoras",370000.00,1.00,370000.00,C,,,
7094,1698,,"remuneração pela execução de projeto de pesquisa",15691.64,1.00,15691.64,T,E,"Fundação Instituto de Pesquisas Econômicas",N
12792,3094,,"Recurso Oriundo do Edital FAPERGS 05/2019 - PQG",17660.00,1.00,17660.00,T,E,"Fundação de Amparo a Pesquisa do Estado do Rio Grande do Sul",S
12799,3095,,"Bolsas para Professores Pesquisadores e Estudantes Bolsistas",30714.24,1.00,30714.24,T,E,"Prefeitura Municipal do Rio Grande - Secretaria de Município de Administração e Licitações",S
7247,1718,,"Recurso captado a partir do edital FAPERGS/CNPq jovens doutores/as (valor aproximado)",10000.00,1.00,10000.00,T,E,"Fundação de Amparo a Pesquisa do Estado do Rio Grande do Sul",S
7305,1724,,"Custeio:R$ 9.160,00Capital:R$ 21.640,00Bolsas:  R$ 55.800,00",99960.00,1.00,99960.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
7371,1728,,"Valor correspondente à bolsa de monitoria, conforme Edital PROGRAD 03/2020.",400.00,1.00,400.00,T,E,"Universidade Federal do Rio Grande",S
13193,3261,,"Valor a ser aportado pela empresa demandante deste projeto",14285.72,1.00,14285.72,T,E,"FORTALECE CORRETORA DE SEGUROS LTDA",N
13221,3274,,"Cento e oitenta e cinto mil trezentos e quarenta e sete reais e vinte e três centavos",185347.23,1.00,185347.23,T,E,"Fundação de Apoio à Universidade do Rio Grande",N
13351,3311,,"Edital Universal 2018",12000.00,1.00,12000.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
13352,3317,"Prestação de Serviço","Pagamento da quinta parcela de 10% do valor contratado no ato da entrega / apresentação do relatório parcial",42832.65,1.00,42832.65,A,,,
13352,3318,"Prestação de Serviço","Pagamento da segunda parcela de 10% do valor contratado no ato da entrega / apresentação do relatório parcial",42832.65,1.00,42832.65,A,,,
13352,3319,"Prestação de Serviço","Pagamento da sétima parcela de 10% do valor contratado no ato da entrega / apresentação do relatório parcial",42832.65,1.00,42832.65,A,,,
7568,1768,,"Custeio: R$ 17.400,00Capital: R$ 52.300,00Valor Global: R$ 69.700,00",69700.00,1.00,69700.00,T,E,"Conselho Nacional de Desenvolvimento Científico e Tecnológico",S
9022,2028,,"Recursos de custeio e capital para realização de análises laboratoriais de amostras ambientais e biológicas.",325519.00,1.00,325519.00,T,E,"Fundação RENOVA",N
7612,1774,"Prestação de Serviço","Projetos realizados posteriormente",0.01,1.00,0.01,A,,,
9058,2044,,"Custeio: R$ 208.000,00Capital: R$ 27.000,00",235000.00,1.00,235000.00,T,E,"UNIVERSIDADE FEDERAL DE SANTA CATARINA",S
9386,2180,,"Consultoria modelagem e análise de dados (Prof. Vinícius Halmenschlager) - Dedicação de 2 horas semanais",3776.00,1.00,3776.00,C,,,
9386,2181,,"Consultoria análise econométrica (Prof. Gibran da Silva Teixeira) - Dedicação de 2 horas semanais",3776.00,1.00,3776.00,C,,,
9386,2182,,"Consultora para analisar os dados isotópicos e de idade de toninhas (Profª. Silvina Botta) - Dedicação de 8 horas semanais",25920.00,1.00,25920.00,C,,,
10727,2503,,"Insumos para preparação de pastas",500.00,1.00,500.00,I,,,
